date,artist_popularity
2023-06-02,79
2023-06-02,79
2023-06-02,79
2023-06-03,79
2023-06-03,79
2023-06-03,79
2023-06-03,79
2023-06-03,79
2023-06-04,79
2023-06-04,79
2023-06-04,79
2023-06-05,79
2023-06-06,79
2023-06-07,79
2023-06-07,79
2023-06-08,79
2023-06-09,79
2023-06-10,79
2023-06-11,79
2023-06-12,79
2023-06-13,79
2023-06-14,79
2023-06-15,79
2023-06-16,79
2023-06-17,79
2023-06-18,79
2023-06-19,79
2023-06-20,79
2023-06-21,79
2023-06-22,79
2023-06-23,79
2023-06-24,79
2023-06-25,79
2023-06-26,79
2023-06-27,79
2023-06-28,79
